name	pop	logP	DA	Region
BantuKenya	20000000	7.301029996	1407.12	0
BiakaPygmy	50000	4.698970004	2631.16	0
Ju_Hoan	30000	4.477121255	4000	0
Mandenka	130000	5.113943352	5858.02	0
MbutiPygmy	40000	4.602059991	1464.84	0
San	31000	4.491361694	3965.61	0
Yoruba	24000000	7.380211242	3889.76	0
Colombian	44000000	7.643452676	26709.42	6
Karitiana	400	2.602059991	27979.92	6
Maya	800000	5.903089987	23358.82	6
Piapoco	15000	4.176091259	26709	6
Pima	6500	3.812913357	21108.52	6
Surui	1000	3	28060.32	6
Balochi	4500000	6.653212514	5997.18	3
Brahui	2300000	6.361727836	5997.18	3
Burusho	100000	5	6668.5	3
Hazara	162000	5.209515015	6585.49	3
Kalash	3000	3.477121255	6409.32	3
Makrani	2500000	6.397940009	5823.99	3
Pathan	12000000	7.079181246	6585.49	3
Sindhi	30000000	7.477121255	6358.77	3
Uygur	9632000	6.983716474	7463.67	3
Cambodian	13000000	7.113943352	10614.1	4
Dai	1000	3	9752.94	4
Daur	154000	5.187520721	11042.12	4
Han	36000000	7.556302501	10762.9	4
Hezhen	11000	4.041392685	11819.15	4
Japanese	126000000	8.100370545	13095.1	4
Lahu	711000	5.851869601	9663.59	4
Miao	77000	4.886490725	10449.4	4
Mongola	132000	5.120573931	10664.82	4
Naxi	300000	5.477121255	9561.55	4
Han-NChina	40000000	7.602059991	10347.4	4
Oroqen	9200	3.963787827	11120.01	4
She	800000	5.903089987	11453.2	4
Tu	200000	5.301029996	9661.79	4
Tujia	7555000	6.878234469	10547	4
Xibo	83000	4.919078092	7463.67	4
Yakut	423000	5.626340367	12447.54	4
Yi	6500000	6.812913357	9927.81	4
Adygei	500000	5.698970004	5349.68	2
Basque	600000	5.77815125	6980.55	2
Italian	58000000	7.763427994	6054.65	2
French	50000000	7.698970004	6706.64	2
Orcadian	19000	4.278753601	7968.97	2
Russian	143000000	8.155336037	6762.95	2
Sardinian	1600000	6.204119983	6586.72	2
Tuscan	3500000	6.544068044	6278.25	2
Bedouin	1500000	6.176091259	2852.57	1
Druze	5000000	6.698970004	2985.66	1
Mozabite	230000	5.361727836	4893.4	1
Palestinian	200000	5.301029996	2985.66	1
Melanesian	7000000	6.84509804	18586.2	5
Papuan	5500000	6.740362689	17134.2	5
